year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2019;November 29th;Utneunnamja Gamdokpan;145736,00;n/a;145736,00
2019;November 29th;Viulisti;17315,00;n/a;17315,00
2019;January 10th;Underwater;21903186,00;17291078,00;39194264,00
2019;November 29th;Valan;25325,00;n/a;25325,00
2019;November 29th;Toute ressemblance;781254,00;n/a;781254,00
2019;November 29th;Sprite Sisters - Vier zauberhafte Schwestern;1535712,00;n/a;1535712,00
2019;November 29th;Il Sogno Mio d'Amore;2134,00;n/a;2134,00
2019;November 29th;The Street;58047,00;n/a;58047,00
2019;November 29th;La Scala: I Masnadieri;5791,00;n/a;5791,00
2019;August 28th;Shimu;69127,00;n/a;69127,00
2019;November 29th;Proxima;777020,00;n/a;777020,00
2019;November 29th;Sutemose;57185,00;n/a;57185,00
2019;November 29th;El Secreto de Julia;140,00;n/a;140,00
2019;November 29th;Ping Yuan Shang De Xia Luo Ke;1330193,00;n/a;1330193,00
2019;November 29th;Penoza: The Final Chapter;5636719,00;n/a;5636719,00
2019;November 29th;Politseyskiy s Rublyovki. Novogodniy bespredel 2;17318734,00;n/a;17318734,00
2019;February 9th;Prityazhenie 2;16433164,00;n/a;16433164,00
2019;November 29th;The Man in the Trunk;;n/a;
2019;November 29th;Melody Makers: ShouldÃ¢â‚¬â„¢ve Been There;;n/a;
2019;November 29th;Os ParÃƒÂ§as 2;4530412,00;n/a;4530412,00
2019;November 29th;Letters to Paul Morrissey;1163,00;n/a;1163,00
2019;November 29th;Latte & the Magic Waterstone;4883571,00;n/a;4883571,00
2019;November 29th;Lesser Fullness;181959,00;n/a;181959,00
2019;December 6th;Les MisÃƒÂ©rables - The Staged Concert;4586848,00;455544,00;5042392,00
2019;November 29th;Liang Zhi Lao Hu;32007144,00;n/a;32007144,00
2019;November 29th;Jaz sem Frenk;12099,00;n/a;12099,00
2019;November 29th;KÃƒÂ¼ÃƒÂ§ÃƒÂ¼k Seyler;39434,00;n/a;39434,00
2019;November 29th;Kamma Rajyam Lo Kadapa Reddlu;310,00;n/a;310,00
2019;November 29th;Jak poslubic milionera;5116659,00;n/a;5116659,00
2019;November 29th;InfÃƒÂ¢ncia, AdolescÃƒÂªncia, Juventude;1204,00;n/a;1204,00
2019;November 29th;La hija de un ladrÃƒÂ³n;318214,00;n/a;318214,00
2019;November 29th;HÃƒÂ¡lito Azul;832,00;n/a;832,00
2019;November 29th;Hemen DÃƒÂ¶neriz;27890,00;n/a;27890,00
2019;November 29th;Guadalupe Reyes;3166966,00;n/a;3166966,00
2019;November 29th;Gloria Mundi;2407504,00;n/a;2407504,00
2019;November 29th;Hijas de Cynisca;3414,00;n/a;3414,00
2019;November 29th;Ermitage. Il potere dell'arte;99469,00;n/a;99469,00
2019;November 29th;The Dirty War On The National Health Service;15666,00;n/a;15666,00
2019;November 29th;Dilsiz;21971,00;n/a;21971,00
2019;November 29th;Finke: There And Back;64065,00;n/a;64065,00
2019;November 29th;Commando 3;107209,00;n/a;107209,00
2019;November 29th;El cuidado de los otros;3497,00;n/a;3497,00
2019;November 29th;Chanson douce;1646668,00;n/a;1646668,00
2019;November 29th;CBeebies Christmas Show 2019: Hansel & Gretel;206311,00;n/a;206311,00
2019;November 29th;Carcereiros: O Filme;504155,00;n/a;504155,00
2019;March 13th;Bloodshot;27299294,00;10021787,00;37321081,00
2019;November 29th;The Body Remembers When the World Broke Open;;n/a;
2019;November 29th;Bing Feng Bao;1786718,00;n/a;1786718,00
2019;November 29th;Bing at Christmas;418957,00;n/a;418957,00
2019;November 29th;Arjun Suravaram;17691,00;n/a;17691,00
2019;November 29th;Away;16842,00;n/a;16842,00
2019;May 21st;Als Hitler das rosa Kaninchen stahl;8640677,00;n/a;8640677,00
2019;November 28th;Tvar;337379,00;n/a;337379,00
2019;November 29th;Hellaro;141304,00;n/a;141304,00
2019;November 28th;Wildlings;508681,00;n/a;508681,00
2019;November 28th;A Tor Bella Monaca non Piove Mai;112440,00;n/a;112440,00
2019;November 28th;Nati 2 volte;8573,00;n/a;8573,00
2019;November 28th;Konets sezona;9589,00;n/a;9589,00
2019;November 28th;Lev Yashin. Vratar moey mechty;1778723,00;n/a;1778723,00
2019;November 28th;Jib Iyagi;23103,00;n/a;23103,00
2019;November 28th;Mein Ende. Dein Anfang.;4248,00;n/a;4248,00
2019;July 24th;Los dÃƒÂ­as de la ballena;;n/a;
2019;November 28th;Haengdonghaneun Yangsim Kimdaejung;30039,00;n/a;30039,00
2019;November 27th;The Two Popes;246283,00;n/a;246283,00
2019;November 28th;Bolshaya poeziya;25331,00;n/a;25331,00
2019;November 27th;Sympathie pour le diable;63151,00;12144,00;75295,00
2019;November 27th;The Orphanage;;n/a;
2019;November 27th;Nareul Chatajweo;4362187,00;n/a;4362187,00
2019;November 27th;Knives Out;147588118,00;165364060,00;312952178,00
2019;November 27th;Queen & Slim;4128089,00;43808310,00;47936399,00
2019;November 27th;Da Meng Nan Wang;1470000,00;n/a;1470000,00
2019;December 6th;Marriage Story;320349,00;n/a;320349,00
2019;November 26th;Never Surrender: A Galaxy Quest Documentary;;n/a;
2019;November 27th;Kasenta;91256,00;n/a;91256,00
2019;November 25th;Frida - Viva la vida;531034,00;n/a;531034,00
2019;November 24th;The Calling;;n/a;
2019;November 27th;63 Up;;483685,00;
2019;November 23rd;Wilder vs. Ortiz;;n/a;
2019;November 23rd;Mult v. Kino Vypusk No. 107;90734,00;n/a;90734,00
2019;November 22nd;Zgodbe iz kostanjevih gozdov;40749,00;n/a;40749,00
2019;November 22nd;Wo Shi Xiong Shou;7090000,00;n/a;7090000,00
2019;November 22nd;Zhui Xiaong Shi Jiu Nian;371951,00;n/a;371951,00
2019;November 22nd;VlastnÃƒÂ­ci;1979626,00;n/a;1979626,00
2019;November 22nd;Un aÃƒÂ±o mÃƒÂ¡s;410,00;n/a;410,00
2019;November 22nd;Turno do Dia;342,00;n/a;342,00
2019;November 22nd;When Lambs Become Lions;859,00;9337,00;10196,00
2019;November 22nd;Te pido un taxi;1640,00;n/a;1640,00
2019;May 7th;State Funeral;36988,00;12424,00;49412,00
2019;November 22nd;Los sonÃƒÂ¡mbulos;13249,00;n/a;13249,00
2019;November 22nd;Tristeza e Alegria na Vida das Girafas;16132,00;n/a;16132,00
2019;November 22nd;Two Heads Creek;10575,00;n/a;10575,00
2019;November 22nd;Somebody Up There Likes Me;33072,00;n/a;33072,00
2019;November 22nd;Shooting the Mafia;23015,00;9988,00;33003,00
2019;November 22nd;RSC Live: Timon of Athens;59829,00;n/a;59829,00
2019;November 22nd;Pasmerkti. PajÃ…Â«rio dÃ…Â¾iazas;525790,00;n/a;525790,00
2019;November 22nd;Pagalpanti;283292,00;227714,00;511006,00
2019;November 22nd;Saint Cloud Hill;;n/a;
2019;November 22nd;National Theatre Live: Present Laughter;2034202,00;n/a;2034202,00
2019;May 22nd;Military Wives;5088702,00;n/a;5088702,00
2019;November 22nd;Mi Vida;834375,00;n/a;834375,00
2019;November 22nd;Met Opera: Akhnaten;599879,00;n/a;599879,00
2019;November 22nd;Pirouette et le sapin de NoÃƒÂ«l;684946,00;n/a;684946,00
2019;November 22nd;Mundina Nildana;;n/a;
2019;November 22nd;Kessan! Chushingura;8760116,00;n/a;8760116,00
2019;November 22nd;The Killing Floor;;1583,00;
2019;November 22nd;MalÃƒÂ¡ RÃƒÂ­Ã…Â¡a;15761,00;n/a;15761,00
2019;November 22nd;Julemandens datter;201174,00;n/a;201174,00
2019;November 22nd;Intemperie;618790,00;n/a;618790,00
2019;November 22nd;Joyeuse retraite!;9816256,00;n/a;9816256,00
2019;November 22nd;El Hombre del Futuro;192,00;n/a;192,00
2019;November 22nd;Historias de nuestro cine;1750,00;n/a;1750,00
2019;November 22nd;Here for Life;2495,00;n/a;2495,00
2019;November 22nd;Happy New Year, Colin Burstead;42329,00;n/a;42329,00
2019;November 22nd;Instrucciones para la poligamia;292,00;n/a;292,00
2019;March 8th;Heimat ist ein Raum aus Zeit;1397,00;n/a;1397,00
2019;November 22nd;Hala;;n/a;
2019;November 22nd;Les ÃƒÂ©blouis;1428590,00;n/a;1428590,00
2019;November 22nd;George Reddy;4013,00;n/a;4013,00
2019;November 22nd;Dark Waters;11971933,00;11136084,00;23108017,00
2019;November 22nd;El cuarto reino: El reino de los plÃƒÂ¡sticos;328,00;n/a;328,00
2019;November 22nd;Cetto c'ÃƒÂ¨, senzadubbiamente;5556301,00;n/a;5556301,00
2019;November 22nd;Cep HerkÃƒÂ¼lÃƒÂ¼: Naim SÃƒÂ¼leymanoglu;5577528,00;n/a;5577528,00
2019;November 22nd;The Courier;10862200,00;n/a;10862200,00
2019;November 22nd;Cardinalul;31169,00;n/a;31169,00
2019;November 22nd;The Dustwalker;;n/a;
2019;November 22nd;Bian Hua Zhong De Zhong Guo: Sheng Huo Yin Ni Er Huo Re;1380000,00;n/a;1380000,00
2019;November 22nd;Blue Story;5870623,00;n/a;5870623,00
2019;November 22nd;Android Kunjappan Version 5.25;10225,00;n/a;10225,00
2019;November 22nd;A Beautiful Day in the Neighborhood;6853786,00;61696436,00;68550222,00
2019;November 22nd;Aman Reis DuymasÃ„Â±n;1398389,00;n/a;1398389,00
2019;November 22nd;Ardara;3131,00;n/a;3131,00
2019;November 22nd;Adithya Varma;6565,00;n/a;6565,00
2019;November 22nd;The Amber Light;3221,00;n/a;3221,00
2019;November 22nd;21 Bridges;14123703,00;28539757,00;42663460,00
2019;November 22nd;3022;;n/a;
2019;November 22nd;4 Metros;2654,00;n/a;2654,00
2019;November 22nd;Age Out;;n/a;
2019;November 21st;Song of Love;6780000,00;n/a;6780000,00
2019;June 12th;Selvmordsturisten;;n/a;
2019;November 21st;Unforgettable;7313,00;n/a;7313,00
2019;November 22nd;AdiÃƒÂ³s;2268177,00;n/a;2268177,00
2019;November 21st;Eolguleubsneun Boseu;166177,00;n/a;166177,00
2019;November 21st;Eoje Ileun Modu Kwaenchanhha;114448,00;n/a;114448,00
2019;November 21st;Jeronimo;96771,00;n/a;96771,00
2019;November 21st;Depeche Mode: SPIRITS in the Forest;1737287,00;704744,00;2442031,00
2019;November 21st;Davay razvedemsya!;1712078,00;n/a;1712078,00
2019;November 21st;Avanpost;2710285,00;n/a;2710285,00
2019;November 21st;Blue Moon;1317,00;n/a;1317,00
2019;November 21st;Krov;886,00;n/a;886,00
2019;November 21st;Abbaneu Yebbeuda;12497,00;n/a;12497,00
2019;November 20th;Terminal Sud;;n/a;
2019;November 21st;Aspromonte - La terra degli ultimi;274858,00;n/a;274858,00
2019;November 15th;Zibilla;88823,00;n/a;88823,00
2019;November 22nd;Frozen II;967808702,00;477373578,00;1445182280,00
2019;November 15th;Waves;916823,00;1658790,00;2575613,00
2019;November 15th;Willy and the Guardians of the Lake;4645,00;n/a;4645,00
2019;November 15th;The Warrior Queen of Jhansi;10478,00;177437,00;187915,00
2019;November 15th;Turbulencia Zombi;6,00;n/a;6,00
2019;November 15th;Universo PinzÃƒÂ¡s;286,00;n/a;286,00
2019;November 15th;SÃƒÂ¶z Vermistin;26017,00;n/a;26017,00
2019;November 15th;Thunderdome Never Dies;123255,00;n/a;123255,00
2019;November 15th;To Kid or Not to Kid;;n/a;
2019;June 19th;StarDog and TurboCat;824429,00;80496,00;904925,00
2019;November 15th;Si yo fuera rico;14240702,00;n/a;14240702,00
2019;November 19th;Lionel Richie at Glastonbury;;n/a;
2019;November 15th;Sanga Thamizhan;21092,00;n/a;21092,00
2019;November 15th;The Shed;16602,00;n/a;16602,00
2019;November 15th;Scandalous: The Untold Story of the National Enquirer;;18759,00;
2019;November 15th;Queen Lear;5303,00;n/a;5303,00
2019;November 15th;Radioflash;;n/a;
2019;November 15th;Renacidos: El Padre PÃƒÂ­o cambiÃƒÂ³ sus vidas;101883,00;n/a;101883,00
2019;November 15th;Proceder;3568635,00;n/a;3568635,00
2019;November 15th;El plan divino;8931,00;n/a;8931,00
2019;November 15th;Palace for the People;1212,00;n/a;1212,00
2019;November 15th;Recorder: The Marion Stokes Project;;55632,00;
2019;November 15th;Placa de Acero;1118441,00;n/a;1118441,00
2019;November 15th;Noura's Dream;80675,00;n/a;80675,00
2019;November 15th;Na Yi Ye Wo Gei Ni Kai Guo Che;158737,00;n/a;158737,00
2019;November 15th;Opera de Paris: La Traviata;7388,00;n/a;7388,00
2019;November 15th;Motichoor Chaknachoor;22145,00;n/a;22145,00
2019;November 15th;Maizi de gaitou;462886,00;n/a;462886,00
2019;November 15th;Marjaavaan;186662,00;n/a;186662,00
2019;November 15th;Mickey and the Bear;;57716,00;
2019;December 6th;Little Joe;191504,00;23862,00;215366,00
2019;November 15th;Madre;861342,00;n/a;861342,00
2019;November 15th;Jhalle;73068,00;n/a;73068,00
2019;November 15th;Idrissa, crÃƒÂ³nica de una muerte cualquiera;1962,00;n/a;1962,00
2019;November 15th;The Hottest August;;n/a;
2019;November 15th;Line of Duty;640363,00;n/a;640363,00
2019;November 15th;Feast of the Seven Fishes;;n/a;
2019;November 15th;DoÃƒÂ±a Francisquita;102412,00;n/a;102412,00
2019;November 15th;Gece Gelenler;8247,00;n/a;8247,00
2019;November 15th;Da Yue Zai Dong Ji;32227811,00;n/a;32227811,00
2019;November 15th;Come se non ci fosse un domani;32969,00;n/a;32969,00
2019;November 15th;Chang An Dao;2940000,00;n/a;2940000,00
2019;November 15th;Bolshoi Ballet: Le Corsaire;115446,00;n/a;115446,00
2019;November 15th;Hollywould;;11888,00;
2019;November 15th;Arara;;n/a;
2019;November 15th;Alpha: The Right to Kill;2631,00;n/a;2631,00
2019;November 15th;Autonomy;;n/a;
2019;November 15th;Los adoptantes;3026,00;n/a;3026,00
2019;November 15th;Bluebird;;n/a;
2019;November 14th;Yooheuiege;819412,00;n/a;819412,00
2019;November 14th;The Twilight Zone: A 60th Anniversary Celebration;;n/a;
2019;November 15th;1800 gramÃƒÂ³w;2865552,00;n/a;2865552,00
2019;November 14th;Yeonghaeui Balam;13627,00;n/a;13627,00
2019;November 14th;Sono solo fantasmi;1554631,00;n/a;1554631,00
2019;November 14th;Sabjil;104682,00;n/a;104682,00
2019;November 15th;Action;9696,00;n/a;9696,00
2019;November 14th;Night Sweats;;n/a;
2019;November 14th;Quick;99049,00;n/a;99049,00
2019;December 9th;INXS: Live Baby Live at Wembly Stadium;208611,00;n/a;208611,00
2019;November 14th;#Moscou-Royan;4326,00;n/a;4326,00
2019;November 15th;Ford v. Ferrari;106794391,00;117624357,00;224418748,00
2019;November 14th;Il peccato;1044800,00;n/a;1044800,00
2019;November 14th;Dvoe;26414,00;n/a;26414,00
2019;November 14th;Daettongryeongeui 7 Sigan;198424,00;n/a;198424,00
2019;November 14th;The Brave;2548,00;n/a;2548,00
2019;November 15th;CharlieÃ¢â‚¬â„¢s Angels;55378697,00;17801306,00;73180003,00
2019;November 14th;Anatoly Krupnov. He Was;7659,00;n/a;7659,00
2019;October 16th;The Bra;24468,00;8314,00;32782,00
2019;November 11th;MBF: ManÃ¢â‚¬â„¢s Best Friend;;n/a;
2019;November 13th;Beullaekmeoni;17849132,00;n/a;17849132,00
2019;November 12th;EverybodyÃ¢â‚¬â„¢s Everything;201332,00;547207,00;748539,00
2019;November 9th;Mult v. Kino Vypusk No. 106;101140,00;n/a;101140,00
2019;November 8th;YaralÃ„Â± Keklik;433,00;n/a;433,00
2019;November 8th;Wu Lin Gu Er;18176,00;n/a;18176,00
2019;November 8th;Wo De Quan Wang Nan You;3470000,00;n/a;3470000,00
2019;November 8th;Ventajas de viajar en tren;405517,00;n/a;405517,00
2019;November 8th;Ã…Â½enskÃƒÂ¡ na vrcholu;1506988,00;n/a;1506988,00
2019;November 8th;Sunday Girl;;n/a;
2019;November 8th;Technoboss;10741,00;n/a;10741,00
2019;November 13th;Shakira in Concert: El Dorado World Tour;29376,00;n/a;29376,00
2019;December 25th;The Song of Names;42248,00;1077584,00;1119832,00
2019;November 8th;Rounds;70554,00;n/a;70554,00
2019;November 8th;Rise Of The Footsoldier 4: Marbella;8271,00;n/a;8271,00
2019;November 15th;The Report;242788,00;n/a;242788,00
2019;November 8th;Reel Rock 14;18504,00;n/a;18504,00
2019;November 8th;Reevolution;3208,00;n/a;3208,00
2019;November 8th;Recep Ivedik 6;15389289,00;n/a;15389289,00
2019;November 8th;Polvo;361275,00;n/a;361275,00
2019;November 8th;Playing with Fire;16797656,00;44451847,00;61249503,00
2019;November 8th;Piedra, papel y tijera;217,00;n/a;217,00
2019;November 8th;Pets United;4591939,00;n/a;4591939,00
2019;November 8th;Place des Victoires;384145,00;n/a;384145,00
2019;November 8th;Noelle;;n/a;
2019;November 8th;Ãƒâ€“rÃƒÂ¶k tÃƒÂ©l;3669,00;n/a;3669,00
2019;November 8th;Mr. Toilet: The WorldÃ¢â‚¬â„¢s #2 Man;;n/a;
2019;November 8th;Mujer medicina;732,00;n/a;732,00
2019;November 8th;Maria, Regina RomÃƒÂ¢niei;668922,00;n/a;668922,00
2019;November 8th;Love is Blind;;n/a;
2019;November 8th;Met Opera: Madama Butterfly;1698822,00;n/a;1698822,00
2019;November 8th;League Of Legends: World Finals 2019;30835,00;n/a;30835,00
2019;November 8th;MÃƒÂ¥nelyst i FlÃƒÂ¥klypa;119098,00;n/a;119098,00
2019;November 8th;Lara;957560,00;n/a;957560,00
2019;November 8th;The Kingmaker;229687,00;122587,00;352274,00
2019;November 8th;Klaus;;n/a;
2019;November 15th;JÃ¢â‚¬â„¢ai perdu mon corps;1138130,00;n/a;1138130,00
2019;November 8th;El Hoyo;1109430,00;n/a;1109430,00
2019;November 8th;HapÃ…Å¸uu;40635,00;n/a;40635,00
2019;November 8th;Good Girls Get High;;n/a;
2019;November 8th;The Hidden Love;8823,00;n/a;8823,00
2019;November 8th;Huang Hua Tang;100000,00;n/a;100000,00
2019;November 8th;Un Gauchito Gil;625,00;n/a;625,00
2019;November 8th;A Fish in the Bathtub;;1237,00;
2019;November 8th;The Gruffalo & Room on the Broom Double Bill;70227,00;n/a;70227,00
2019;November 15th;The Good Liar;16060159,00;17156058,00;33216217,00
2019;November 8th;El Cuadro Historias de Las Meninas;17142,00;n/a;17142,00
2019;November 8th;Ellidde Illi Tanaka;356,00;n/a;356,00
2019;November 8th;Eiga Sumikko Gurashi - Tobidasu Ehon to Himitsu no Ko;9794013,00;n/a;9794013,00
2019;November 8th;A Dose of Happiness;453833,00;n/a;453833,00
2019;December 6th;Daniel IsnÃ¢â‚¬â„¢t Real;10040,00;n/a;10040,00
2019;November 8th;Everton: Howard's Way;10947,00;n/a;10947,00
2019;November 8th;Crown Vic;;3868,00;
2019;November 8th;Cold Brook;;n/a;
2019;November 22nd;Citizen K;28908,00;119466,00;148374,00
2019;November 8th;CÃ„Æ’rturan;5534,00;n/a;5534,00
2019;November 8th;Ballet Blanc;;4832,00;
2019;November 8th;Cartero;666,00;n/a;666,00
2019;November 8th;Bala;545970,00;n/a;545970,00
2019;November 8th;Amor de pelÃƒÂ­cula;27758,00;n/a;27758,00
2019;November 8th;Bostofrio, oÃƒÂ¹ le ciel rejoint la terre;5490,00;n/a;5490,00
2019;February 7th;And Then We Danced;448625,00;177262,00;625887,00
2019;November 7th;The Yard Movie;11119,00;n/a;11119,00
2019;November 8th;The All Americans;;20322,00;
2019;November 7th;Watson;;n/a;
2019;November 15th;Shinui Han Soo: Gwisoopyeon;15926132,00;67578,00;15993710,00
2019;November 21st;42nd Street: The Musical;2016982,00;n/a;2016982,00
2019;November 7th;Ratu Ilmu Hitam;;n/a;
2019;November 7th;MylÃƒÂ¨ne Farmer 2019 - Le film;113940,00;n/a;113940,00
2019;November 7th;Not Guilty;140869,00;n/a;140869,00
2019;November 7th;Lynyrd Skynyrd: Last of the Street Survivors Farewell Tour;;n/a;
2019;November 7th;Uspekh;50852,00;n/a;50852,00
2019;November 7th;Novogodniy remont;52330,00;n/a;52330,00
2019;November 8th;Midway;69982261,00;56846802,00;126829063,00
2019;November 7th;Gli uomini d'oro;935799,00;n/a;935799,00
2019;November 8th;Honey Boy;402927,00;3012615,00;3415542,00
2019;July 9th;Dachra;7539,00;n/a;7539,00
2019;November 7th;Bellbird;426331,00;n/a;426331,00
2019;November 8th;Last Christmas;88295422,00;35150750,00;123446172,00
2019;November 7th;16 Bars;;n/a;
2019;November 7th;Devyataya;4969221,00;n/a;4969221,00
2019;November 6th;The Divine Plan;;n/a;
2019;November 7th;The 13th Man;;n/a;
2019;November 5th;Return to Mount Kennedy;;n/a;
2019;November 5th;Red Letter Day;;n/a;
2019;November 5th;A Night With Janis Joplin;;n/a;
2019;November 7th;Cosmos;;n/a;
2019;November 4th;Christmas Jars;98750,00;459466,00;558216,00
2019;November 2nd;Canelo vs. Kovalev;;n/a;
2019;November 1st;You Ran Jian Nan Shan;66561,00;n/a;66561,00
2019;November 2nd;Beast No More;;n/a;
2019;November 1st;Volanie;6648,00;n/a;6648,00
2019;November 1st;To Be of Service;;6173,00;
2019;November 8th;Shou Yi Ren;31098062,00;90545,00;31188607,00
2019;November 1st;La trinchera infinita;1541026,00;n/a;1541026,00
2019;November 1st;Spell;;n/a;
2019;July 1st;Suzi Q;199773,00;n/a;199773,00
2019;November 1st;Ujda Chaman;12168,00;n/a;12168,00
2019;November 6th;Slayer: The Repentless Killogy;4147,00;n/a;4147,00
2019;November 1st;Romantic Road;292254,00;n/a;292254,00
2019;November 1st;Los RodrÃƒÂ­guez y el mÃƒÂ¡s allÃƒÂ¡;1910518,00;n/a;1910518,00
2019;November 1st;Property Master;414112,00;n/a;414112,00
2019;November 1st;The Portal;678,00;n/a;678,00
2019;November 1st;Royal Opera House: Concerto / Enigma Variations / Raymonda Act III;286258,00;n/a;286258,00
2019;November 1st;Primos;;n/a;
2019;November 1st;Das Perfekte Geheimnis;56469690,00;n/a;56469690,00
2019;November 1st;National Theatre Live: Hansard;1318622,00;n/a;1318622,00
2019;November 1st;Motherless Brooklyn;9200000,00;9277736,00;18477736,00
2019;November 1st;Mr. Jones;2303094,00;n/a;2303094,00
2019;November 1st;Merhaba GÃƒÂ¼zel Vatanim;73452,00;n/a;73452,00
